# Data for the a4a model 
# Full age range
 1 10 
# Full year range
 1957 2008 
# Number of surveys
 1 
# Survey min ages
 1 
# Survey max ages
 8 
# Survey time as a fraction into the year (one for each survey)
 0.705 
# fbar range
 2 6 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 710 
# Observation data frame 
# fleet	year	age	observation	weights
1	1957	1	0.165512835278857	1
1	1957	2	0.598954779468867	1
1	1957	3	0.923370437764934	1
1	1957	4	0.509213006681492	1
1	1957	5	0.177066552788286	1
1	1957	6	-1.12411239839413	1
1	1957	7	-0.910758472552839	1
1	1957	8	-1.11095578092156	1
1	1957	9	-1.70726336014425	1
1	1957	10	-0.926292410642086	1
1	1958	1	0.88137871721184	1
1	1958	2	1.07921646777786	1
1	1958	3	0.51430663755291	1
1	1958	4	0.857221845314649	1
1	1958	5	0.279125154836432	1
1	1958	6	-0.33275139115138	1
1	1958	7	-1.2098390179344	1
1	1958	8	-1.23184509819701	1
1	1958	9	-1.50135986669335	1
1	1958	10	-0.735016984074877	1
1	1959	1	1.44304465585398	1
1	1959	2	1.66079491858716	1
1	1959	3	1.03029553316893	1
1	1959	4	0.296816504209799	1
1	1959	5	0.513783168687352	1
1	1959	6	-0.173968002260986	1
1	1959	7	-0.68134213477826	1
1	1959	8	-1.45373943011079	1
1	1959	9	-1.4248232351795	1
1	1959	10	-0.527510728246503	1
1	1960	1	0.991953789060872	1
1	1960	2	1.84691772268111	1
1	1960	3	1.35989598050481	1
1	1960	4	0.64032239658326	1
1	1960	5	-0.202761538847735	1
1	1960	6	0.0154745106322896	1
1	1960	7	-0.659031077096953	1
1	1960	8	-1.11261866030258	1
1	1960	9	-1.68459837403622	1
1	1960	10	-0.593088107722824	1
1	1961	1	1.01387859566738	1
1	1961	2	1.67828162790759	1
1	1961	3	1.4960567486078	1
1	1961	4	0.914729252792876	1
1	1961	5	0.224179362590341	1
1	1961	6	-0.754912405454206	1
1	1961	7	-0.624800616690479	1
1	1961	8	-1.03422450411389	1
1	1961	9	-1.5201940596365	1
1	1961	10	-0.626163943418344	1
1	1962	1	0.625721618245205	1
1	1962	2	1.90075362548963	1
1	1962	3	1.50475206654984	1
1	1962	4	1.17165941336587	1
1	1962	5	0.617770458107076	1
1	1962	6	-0.275660802661182	1
1	1962	7	-1.10741751982196	1
1	1962	8	-1.11018071583266	1
1	1962	9	-1.65172611803954	1
1	1962	10	-0.761763347002876	1
1	1963	1	1.19861636538244	1
1	1963	2	1.63408453656701	1
1	1963	3	1.707640845442	1
1	1963	4	1.15335631097427	1
1	1963	5	0.722529129270429	1
1	1963	6	0.15404293038099	1
1	1963	7	-0.758098482672443	1
1	1963	8	-1.38952282407821	1
1	1963	9	-1.35868464553196	1
1	1963	10	-0.502365988389677	1
1	1964	1	0.878898264618918	1
1	1964	2	1.81257019092906	1
1	1964	3	1.33925836079923	1
1	1964	4	1.27937885990836	1
1	1964	5	0.790016985133722	1
1	1964	6	0.310758326049864	1
1	1964	7	-0.550074890660406	1
1	1964	8	-1.42497485370757	1
1	1964	9	-1.9300048205805	1
1	1964	10	-0.484801763629541	1
1	1965	1	0.46624451183165	1
1	1965	2	2.76607804201979	1
1	1965	3	1.30841741588828	1
1	1965	4	0.724580992586276	1
1	1965	5	0.486379952312815	1
1	1965	6	0.103747898573328	1
1	1965	7	-0.401057789936798	1
1	1965	8	-1.16488763007213	1
1	1965	9	-1.87311165687997	1
1	1965	10	-0.444126647122621	1
1	1966	1	0.339267699915419	1
1	1966	2	1.80831665507086	1
1	1966	3	2.7154654146929	1
1	1966	4	0.876654513582835	1
1	1966	5	0.328113662770409	1
1	1966	6	0.00271753008292919	1
1	1966	7	-0.507926258970315	1
1	1966	8	-0.933223085706897	1
1	1966	9	-1.44457431741239	1
1	1966	10	-0.608047995771861	1
1	1967	1	-0.305653541645595	1
1	1967	2	1.6269714910436	1
1	1967	3	1.45800718737011	1
1	1967	4	2.27000046348932	1
1	1967	5	0.426525825346266	1
1	1967	6	-0.206117171624483	1
1	1967	7	-0.527819799489885	1
1	1967	8	-1.23134522315536	1
1	1967	9	-1.4050087172062	1
1	1967	10	-0.897607499377216	1
1	1968	1	0.992386484625733	1
1	1968	2	1.09135111870114	1
1	1968	3	1.15504667572502	1
1	1968	4	0.858010775581652	1
1	1968	5	1.67269662322198	1
1	1968	6	-0.466551689874787	1
1	1968	7	-0.97517006367401	1
1	1968	8	-0.998553215830988	1
1	1968	9	-1.94392028864248	1
1	1968	10	-0.718647290285967	1
1	1969	1	1.13365610679035	1
1	1969	2	1.10023811558584	1
1	1969	3	0.814782662039493	1
1	1969	4	0.70361781085194	1
1	1969	5	0.28212762241902	1
1	1969	6	1.33346957714321	1
1	1969	7	-0.968519757249972	1
1	1969	8	-1.50529558840207	1
1	1969	9	-1.2081285715797	1
1	1969	10	-0.532964385789308	1
1	1970	1	1.50612791655645	1
1	1970	2	1.82318150095693	1
1	1970	3	1.05716071225659	1
1	1970	4	0.73945428486312	1
1	1970	5	0.511839575924135	1
1	1970	6	0.250753266902137	1
1	1970	7	1.05671713243346	1
1	1970	8	-1.46899249727475	1
1	1970	9	-1.87977993593541	1
1	1970	10	-0.613960402137614	1
1	1971	1	0.927966020805577	1
1	1971	2	1.52942196272063	1
1	1971	3	1.19556484524246	1
1	1971	4	0.276390308727924	1
1	1971	5	-0.0347081048803588	1
1	1971	6	-0.17648831819986	1
1	1971	7	-0.483204082884944	1
1	1971	8	0.0808699971331581	1
1	1971	9	-1.45280353860589	1
1	1971	10	-0.483381476966359	1
1	1972	1	0.968638053104495	1
1	1972	2	1.21048019780546	1
1	1972	3	1.25408186422831	1
1	1972	4	0.759789295405897	1
1	1972	5	-0.149616288779427	1
1	1972	6	-0.473905522478233	1
1	1972	7	-0.645448287583948	1
1	1972	8	-0.922248659152604	1
1	1972	9	-0.388931836127634	1
1	1972	10	-0.560751827168483	1
1	1973	1	1.58371331062048	1
1	1973	2	1.08990516405804	1
1	1973	3	0.833545058541256	1
1	1973	4	0.989231630239662	1
1	1973	5	0.46248528125505	1
1	1973	6	-0.680549541877308	1
1	1973	7	-1.12692217827023	1
1	1973	8	-1.0240182509947	1
1	1973	9	-1.5056242654798	1
1	1973	10	-0.134149896591387	1
1	1974	1	2.05170361378125	1
1	1974	2	2.49243467970568	1
1	1974	3	0.769634902013111	1
1	1974	4	0.43609754360965	1
1	1974	5	0.41887870114263	1
1	1974	6	-0.326868126223131	1
1	1974	7	-1.23122029342817	1
1	1974	8	-1.46740921638669	1
1	1974	9	-1.59425071684473	1
1	1974	10	-0.221153690901374	1
1	1975	1	2.1938416233645	1
1	1975	2	2.41963747856354	1
1	1975	3	2.21877320104876	1
1	1975	4	0.274147130784034	1
1	1975	5	-0.0658857360692924	1
1	1975	6	-0.25206326854166	1
1	1975	7	-0.837019725193194	1
